	Kingdom	Phylum	Class	Order	Family	Genus	Species
efabb9fc719a210b1ecb1bf110742684	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	uncultured	Unclassified
6aff3d406845cf6693a331871f2d0e60	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Pedosphaera	metagenome
cd05a1cfceafeced717ffeb72b820fd0	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	metagenome
e2eb6836cb68daf4b2ed69ff9f83b4c7	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Unclassified	Unclassified
44fd59f11ee7ea27cb79c19f1b2a9b23	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	uncultured	uncultured	uncultured_Acidobacteriales
59c16c4a8c0cd09f5ebfd8232e11c0bf	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingopyxis	Unclassified
a17c42411b87319d4b3cbb490ea0dffa	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	uncultured	uncultured	metagenome
dcd52a8635edfdafc662fa64f6eff742	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	uncultured	uncultured_Planctomycetaceae
579254d0fefca28b3070234ccd41db8f	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	uncultured	Unclassified
2f05609f08c383288a4da7ebcc11a765	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured	uncultured_organism
326c31ef7519830853aaacc9289e37e9	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	Unclassified
eb6d6dd5651fb51f7d8a523890929264	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified
b80bcf3c3cd5d9f540049f287b6d1a8a	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_soil
31007730baa70d749fa552104d14c408	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Acidothermaceae	Acidothermus	uncultured_Thermomonosporaceae
